time="2025-08-22T00:09:12+07:00" level=info msg="4 starting prepare thread"
time="2025-08-22T00:09:12+07:00" level=info msg="4 starting commit thread"
time="2025-08-22T00:09:12+07:00" level=info msg="4 starting rpc server at 0.0.0.0:14000"
time="2025-08-22T00:09:12+07:00" level=info msg="4 starting executor thread\n"
time="2025-08-22T00:09:12+07:00" level=info msg="4 starting server at port 14001\n"
time="2025-08-22T00:09:12+07:00" level=info msg="4 sent prepare request to 3"
time="2025-08-22T00:09:12+07:00" level=info msg="4 became a follower: ballot: 15 -> 2304\n"
time="2025-08-22T00:09:12+07:00" level=info msg="4 sent prepare request to 2"
time="2025-08-22T00:09:12+07:00" level=info msg="4 sent prepare request to 1"
time="2025-08-22T00:09:12+07:00" level=info msg="4 sent prepare request to 0"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent prepare request to 2"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent prepare request to 1"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent prepare request to 3"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent prepare request to 0"
time="2025-08-22T00:09:13+07:00" level=info msg="4 became a leader: ballot: 2304 -> 2564\n"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:13+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:14+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:15+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:16+07:00" level=info msg="4 sent commit request to 2"
time="2025-08-22T00:09:16+07:00" level=info msg="4 sent commit request to 1"
time="2025-08-22T00:09:16+07:00" level=info msg="4 sent commit request to 3"
time="2025-08-22T00:09:16+07:00" level=info msg="4 sent commit request to 0"
time="2025-08-22T00:09:16+07:00" level=error msg="accept tcp [::]:14001: use of closed network connection"
